CODE,E1,E2,E3,E4,E5,E6,E7,E8,E9,W1,W2,W3,W4,W5,O1E,O2E,O3E,O1,O2,O3,O4,O5,O6,O7
AK400,1377.00,1377.00,1377.00,1377.00,1638.00,1647.00,1725.00,1902.00,2001.00,1665.00,1899.00,2010.00,2202.00,2331.00,1827.00,1977.00,2169.00,1644.00,1785.00,2046.00,2307.00,2385.00,2517.00,2547.00
AK401,1455.00,1455.00,1455.00,1455.00,1725.00,1734.00,1779.00,2004.00,2109.00,1737.00,2001.00,2118.00,2307.00,2394.00,1929.00,2085.00,2283.00,1731.00,1866.00,2157.00,2376.00,2427.00,2514.00,2544.00
AK402,1509.00,1509.00,1509.00,1509.00,1851.00,1860.00,1866.00,2097.00,2232.00,1863.00,2094.00,2244.00,2460.00,2487.00,2004.00,2202.00,2451.00,1857.00,1923.00,2292.00,2478.00,2490.00,2517.00,2547.00
AK403,1380.00,1380.00,1380.00,1380.00,1725.00,1734.00,1809.00,1926.00,2067.00,1737.00,1923.00,2073.00,2316.00,2442.00,1833.00,2031.00,2283.00,1731.00,1812.00,2121.00,2418.00,2517.00,2622.00,2658.00
AK404,1383.00,1383.00,1383.00,1383.00,1683.00,1692.00,1788.00,1920.00,2034.00,1695.00,1917.00,2046.00,2268.00,2418.00,1836.00,2010.00,2229.00,1689.00,1791.00,2088.00,2391.00,2484.00,2637.00,2670.00
AK405,1203.00,1203.00,1203.00,1203.00,1491.00,1500.00,1575.00,1677.00,1797.00,1503.00,1671.00,1800.00,2004.00,2127.00,1596.00,1758.00,1971.00,1497.00,1578.00,1836.00,2103.00,2181.00,2304.00,2334.00
AL001,771.00,771.00,771.00,771.00,876.00,939.00,960.00,993.00,1041.00,957.00,990.00,1047.00,1137.00,1173.00,966.00,1029.00,1128.00,936.00,963.00,1065.00,1161.00,1179.00,1212.00,1218.00
AL002,903.00,903.00,903.00,903.00,972.00,1020.00,1083.00,1176.00,1317.00,1074.00,1167.00,1320.00,1347.00,1446.00,1152.00,1242.00,1344.00,1017.00,1131.00,1323.00,1443.00,1569.00,1674.00,1689.00
AL003,1140.00,1140.00,1140.00,1140.00,1272.00,1416.00,1440.00,1608.00,1710.00,1428.00,1605.00,1722.00,1887.00,1893.00,1533.00,1689.00,1884.00,1344.00,1503.00,1758.00,1890.00,1896.00,1899.00,1905.00
AL004,1104.00,1104.00,1104.00,1104.00,1227.00,1311.00,1437.00,1608.00,1647.00,1398.00,1605.00,1650.00,1749.00,1869.00,1572.00,1638.00,1719.00,1296.00,1530.00,1668.00,1845.00,1917.00,2037.00,2058.00
AL005,1005.00,1005.00,1005.00,1005.00,1110.00,1173.00,1218.00,1281.00,1287.00,1215.00,1278.00,1290.00,1308.00,1335.00,1266.00,1284.00,1299.00,1170.00,1251.00,1293.00,1323.00,1389.00,1395.00,1404.00
AL006,954.00,954.00,954.00,954.00,1077.00,1152.00,1215.00,1329.00,1491.00,1206.00,1290.00,1494.00,1515.00,1596.00,1281.00,1416.00,1512.00,1149.00,1263.00,1497.00,1593.00,1698.00,1917.00,1935.00
AL007,1140.00,1140.00,1140.00,1140.00,1317.00,1422.00,1497.00,1611.00,1644.00,1482.00,1608.00,1650.00,1716.00,1731.00,1578.00,1638.00,1713.00,1416.00,1554.00,1665.00,1722.00,1734.00,1740.00,1755.00
AR010,1146.00,1146.00,1146.00,1146.00,1320.00,1443.00,1527.00,1626.00,1632.00,1509.00,1623.00,1635.00,1644.00,1650.00,1617.00,1629.00,1641.00,1434.00,1590.00,1638.00,1647.00,1653.00,1656.00,1665.00
AR012,651.00,651.00,651.00,651.00,732.00,996.00,1014.00,1032.00,1077.00,1011.00,1023.00,1092.00,1332.00,1353.00,1020.00,1044.00,1326.00,780.00,1017.00,1143.00,1344.00,1356.00,1377.00,1386.00
AR411,819.00,819.00,819.00,819.00,912.00,1035.00,1116.00,1239.00,1332.00,1065.00,1236.00,1335.00,1404.00,1521.00,1197.00,1275.00,1377.00,984.00,1164.00,1338.00,1518.00,1707.00,1719.00,1734.00
AZ013,1461.00,1461.00,1461.00,1461.00,1602.00,1698.00,1836.00,2028.00,2085.00,1791.00,2025.00,2094.00,2196.00,2205.00,1980.00,2073.00,2193.00,1683.00,1932.00,2115.00,2199.00,2208.00,2211.00,2232.00
AZ014,960.00,960.00,960.00,960.00,1062.00,1233.00,1251.00,1389.00,1482.00,1248.00,1386.00,1494.00,1647.00,1659.00,1320.00,1461.00,1641.00,1122.00,1290.00,1527.00,1650.00,1662.00,1665.00,1674.00
AZ015,1119.00,1119.00,1119.00,1119.00,1257.00,1419.00,1497.00,1722.00,1782.00,1434.00,1719.00,1788.00,1893.00,1899.00,1674.00,1770.00,1890.00,1305.00,1614.00,1812.00,1896.00,1902.00,1905.00,1914.00
AZ016,906.00,906.00,906.00,906.00,1041.00,1122.00,1206.00,1338.00,1389.00,1185.00,1335.00,1395.00,1497.00,1542.00,1293.00,1377.00,1485.00,1113.00,1266.00,1416.00,1530.00,1554.00,1599.00,1611.00
CA018,2433.00,2433.00,2433.00,2433.00,2706.00,2862.00,2985.00,3225.00,3381.00,2949.00,3222.00,3399.00,3651.00,3693.00,3117.00,3348.00,3642.00,2850.00,3075.00,3453.00,3681.00,3705.00,3744.00,3801.00
CA019,3261.00,3261.00,3261.00,3261.00,3597.00,3951.00,4368.00,4824.00,4842.00,4191.00,4821.00,4845.00,4914.00,5007.00,4797.00,4839.00,4890.00,3894.00,4647.00,4857.00,4989.00,5064.00,5136.00,5220.00
CA021,849.00,849.00,849.00,849.00,948.00,1062.00,1110.00,1203.00,1278.00,1077.00,1200.00,1287.00,1428.00,1494.00,1143.00,1263.00,1413.00,1005.00,1122.00,1317.00,1479.00,1521.00,1578.00,1593.00
CA022,1308.00,1308.00,1308.00,1308.00,1449.00,1545.00,1692.00,1875.00,1905.00,1644.00,1872.00,1908.00,1995.00,2106.00,1842.00,1899.00,1965.00,1530.00,1794.00,1923.00,2082.00,2151.00,2262.00,2289.00
CA023,1296.00,1296.00,1296.00,1296.00,1527.00,1653.00,1704.00,1803.00,1854.00,1701.00,1800.00,1860.00,1953.00,1971.00,1758.00,1842.00,1947.00,1650.00,1743.00,1881.00,1962.00,1974.00,1989.00,2010.00
CA024,2118.00,2118.00,2118.00,2118.00,2352.00,2502.00,2697.00,2967.00,3060.00,2625.00,2964.00,3069.00,3234.00,3303.00,2898.00,3039.00,3216.00,2478.00,2832.00,3102.00,3288.00,3330.00,3399.00,3450.00
CA025,2274.00,2274.00,2274.00,2274.00,2610.00,2802.00,2928.00,3087.00,3099.00,2889.00,3084.00,3102.00,3156.00,3240.00,3063.00,3096.00,3135.00,2787.00,3021.00,3108.00,3222.00,3270.00,3354.00,3402.00
CA026,1752.00,1752.00,1752.00,1752.00,1968.00,2088.00,2109.00,2175.00,2277.00,2106.00,2172.00,2289.00,2466.00,2508.00,2115.00,2256.00,2454.00,2085.00,2112.00,2328.00,2496.00,2520.00,2559.00,2592.00
CA027,2514.00,2514.00,2514.00,2514.00,2859.00,3039.00,3084.00,3177.00,3234.00,3081.00,3174.00,3240.00,3372.00,3504.00,3126.00,3222.00,3339.00,3036.00,3114.00,3264.00,3480.00,3558.00,3690.00,3747.00
CA028,1179.00,1179.00,1179.00,1179.00,1302.00,1383.00,1476.00,1623.00,1677.00,1452.00,1620.00,1683.00,1803.00,1884.00,1575.00,1665.00,1779.00,1374.00,1542.00,1707.00,1866.00,1917.00,2001.00,2022.00
CA031,1962.00,1962.00,1962.00,1962.00,2205.00,2361.00,2577.00,2856.00,2925.00,2496.00,2853.00,2931.00,3048.00,3054.00,2802.00,2910.00,3045.00,2334.00,2727.00,2958.00,3051.00,3057.00,3060.00,3090.00
CA032,1146.00,1146.00,1146.00,1146.00,1227.00,1287.00,1371.00,1518.00,1584.00,1353.00,1515.00,1593.00,1731.00,1830.00,1461.00,1569.00,1707.00,1278.00,1434.00,1620.00,1812.00,1869.00,1968.00,1989.00
CA033,1983.00,1983.00,1983.00,1983.00,2181.00,2301.00,2424.00,2607.00,2673.00,2385.00,2604.00,2679.00,2793.00,2799.00,2553.00,2658.00,2790.00,2289.00,2511.00,2703.00,2796.00,2802.00,2805.00,2829.00
CA034,1947.00,1947.00,1947.00,1947.00,2133.00,2259.00,2445.00,2673.00,2706.00,2376.00,2670.00,2709.00,2775.00,2787.00,2640.00,2700.00,2772.00,2235.00,2574.00,2724.00,2778.00,2790.00,2793.00,2826.00
CA035,1521.00,1521.00,1521.00,1521.00,1737.00,1857.00,1917.00,2016.00,2052.00,1908.00,2013.00,2055.00,2136.00,2190.00,1980.00,2043.00,2121.00,1851.00,1962.00,2070.00,2175.00,2205.00,2259.00,2286.00
CA036,2112.00,2112.00,2112.00,2112.00,2454.00,2640.00,2724.00,2841.00,2865.00,2703.00,2838.00,2868.00,2922.00,2928.00,2811.00,2859.00,2919.00,2631.00,2784.00,2880.00,2925.00,2931.00,2934.00,2961.00
CA037,2349.00,2349.00,2349.00,2349.00,2691.00,2886.00,3027.00,3261.00,3384.00,2979.00,3258.00,3396.00,3603.00,3648.00,3171.00,3357.00,3591.00,2868.00,3123.00,3441.00,3636.00,3660.00,3705.00,3762.00
CA038,2016.00,2016.00,2016.00,2016.00,2319.00,2499.00,2682.00,2949.00,3060.00,2616.00,2946.00,3072.00,3255.00,3294.00,2871.00,3036.00,3246.00,2478.00,2808.00,3111.00,3282.00,3303.00,3342.00,3390.00
CA039,2001.00,2001.00,2001.00,2001.00,2310.00,2523.00,2670.00,2925.00,3072.00,2622.00,2922.00,3087.00,3375.00,3618.00,2823.00,3039.00,3312.00,2508.00,2772.00,3138.00,3579.00,3732.00,3978.00,4041.00
CA041,2037.00,2037.00,2037.00,2037.00,2199.00,2301.00,2418.00,2577.00,2613.00,2382.00,2574.00,2619.00,2697.00,2724.00,2538.00,2607.00,2688.00,2289.00,2499.00,2637.00,2715.00,2727.00,2754.00,2790.00
CA042,1014.00,1014.00,1014.00,1014.00,1182.00,1398.00,1506.00,1623.00,1758.00,1410.00,1554.00,1761.00,1896.00,2040.00,1530.00,1674.00,1860.00,1275.00,1509.00,1764.00,2013.00,2103.00,2247.00,2274.00
CA044,2697.00,2697.00,2697.00,2697.00,3039.00,3243.00,3465.00,3801.00,3960.00,3378.00,3798.00,3975.00,4242.00,4329.00,3693.00,3924.00,4218.00,3213.00,3615.00,4029.00,4311.00,4371.00,4452.00,4521.00
CA392,1722.00,1722.00,1722.00,1722.00,1944.00,2082.00,2244.00,2487.00,2583.00,2187.00,2484.00,2592.00,2790.00,2958.00,2412.00,2562.00,2748.00,2061.00,2358.00,2628.00,2928.00,3030.00,3198.00,3243.00
CA393,1164.00,1164.00,1164.00,1164.00,1287.00,1704.00,1722.00,1824.00,1992.00,1719.00,1821.00,2010.00,2271.00,2277.00,1728.00,1956.00,2268.00,1389.00,1725.00,2067.00,2274.00,2280.00,2283.00,2298.00
CA420,1179.00,1179.00,1179.00,1179.00,1314.00,1392.00,1419.00,1446.00,1458.00,1416.00,1443.00,1461.00,1521.00,1629.00,1425.00,1455.00,1494.00,1389.00,1422.00,1470.00,1608.00,1671.00,1776.00,1794.00
CA457,1548.00,1548.00,1548.00,1548.00,1722.00,1836.00,1986.00,2187.00,2229.00,1935.00,2184.00,2235.00,2340.00,2442.00,2145.00,2220.00,2313.00,1818.00,2094.00,2253.00,2421.00,2481.00,2583.00,2616.00
CO045,1596.00,1596.00,1596.00,1596.00,1779.00,1908.00,2136.00,2400.00,2418.00,2049.00,2397.00,2421.00,2478.00,2517.00,2373.00,2415.00,2466.00,1878.00,2292.00,2433.00,2505.00,2526.00,2562.00,2595.00
CO046,1605.00,1605.00,1605.00,1605.00,1806.00,1917.00,1983.00,2067.00,2073.00,1974.00,2064.00,2076.00,2103.00,2190.00,2052.00,2070.00,2082.00,1914.00,2034.00,2079.00,2172.00,2223.00,2307.00,2334.00
CO047,1410.00,1410.00,1410.00,1410.00,1524.00,1608.00,1770.00,1962.00,1977.00,1713.00,1959.00,1980.00,2040.00,2127.00,1935.00,1974.00,2019.00,1590.00,1881.00,1989.00,2109.00,2160.00,2244.00,2271.00
CO422,1578.00,1578.00,1578.00,1578.00,1806.00,2016.00,2139.00,2325.00,2460.00,2037.00,2322.00,2475.00,2727.00,2889.00,2232.00,2430.00,2685.00,1926.00,2184.00,2523.00,2859.00,2958.00,3123.00,3165.00
CT049,1437.00,1437.00,1437.00,1437.00,1542.00,1671.00,1698.00,1884.00,2013.00,1686.00,1881.00,2025.00,2229.00,2244.00,1791.00,1983.00,2226.00,1605.00,1764.00,2070.00,2235.00,2247.00,2250.00,2277.00
CT050,1530.00,1530.00,1530.00,1530.00,1800.00,1986.00,2037.00,2133.00,2172.00,2034.00,2130.00,2175.00,2283.00,2418.00,2094.00,2163.00,2247.00,1983.00,2079.00,2193.00,2391.00,2475.00,2610.00,2646.00
CT051,2082.00,2082.00,2082.00,2082.00,2379.00,2541.00,2631.00,2820.00,2946.00,2610.00,2817.00,2961.00,3162.00,3168.00,2727.00,2919.00,3159.00,2532.00,2697.00,3003.00,3165.00,3171.00,3174.00,3207.00
DC053,1905.00,1905.00,1905.00,1905.00,2175.00,2319.00,2358.00,2499.00,2661.00,2355.00,2496.00,2676.00,2931.00,2958.00,2388.00,2625.00,2925.00,2316.00,2379.00,2733.00,2949.00,2961.00,2985.00,3027.00
DE054,1350.00,1350.00,1350.00,1350.00,1503.00,1590.00,1635.00,1698.00,1707.00,1632.00,1695.00,1710.00,1749.00,1818.00,1680.00,1704.00,1731.00,1587.00,1668.00,1713.00,1800.00,1842.00,1908.00,1929.00
FL056,1599.00,1599.00,1599.00,1599.00,1833.00,1959.00,1980.00,1995.00,2019.00,1977.00,1992.00,2025.00,2112.00,2265.00,1986.00,2016.00,2073.00,1956.00,1983.00,2037.00,2238.00,2331.00,2487.00,2517.00
FL057,1251.00,1251.00,1251.00,1251.00,1365.00,1431.00,1467.00,1539.00,1611.00,1464.00,1536.00,1617.00,1755.00,1839.00,1485.00,1593.00,1734.00,1428.00,1479.00,1644.00,1821.00,1872.00,1956.00,1977.00
FL058,1437.00,1437.00,1437.00,1437.00,1572.00,1650.00,1710.00,1809.00,1836.00,1704.00,1806.00,1842.00,1917.00,1986.00,1776.00,1830.00,1899.00,1647.00,1758.00,1854.00,1971.00,2013.00,2082.00,2106.00
FL059,1509.00,1509.00,1509.00,1509.00,1638.00,1719.00,1812.00,1959.00,2013.00,1791.00,1956.00,2019.00,2118.00,2124.00,1911.00,2001.00,2115.00,1710.00,1881.00,2043.00,2121.00,2127.00,2130.00,2142.00
FL061,1956.00,1956.00,1956.00,1956.00,2178.00,2310.00,2421.00,2574.00,2619.00,2388.00,2571.00,2625.00,2733.00,2862.00,2535.00,2610.00,2700.00,2298.00,2499.00,2643.00,2838.00,2916.00,3045.00,3087.00
FL062,1497.00,1497.00,1497.00,1497.00,1668.00,1773.00,1875.00,2022.00,2061.00,1845.00,2019.00,2067.00,2145.00,2151.00,1983.00,2052.00,2142.00,1761.00,1947.00,2085.00,2148.00,2154.00,2157.00,2169.00
FL063,1386.00,1386.00,1386.00,1386.00,1518.00,1596.00,1644.00,1758.00,1836.00,1641.00,1755.00,1845.00,1989.00,2043.00,1695.00,1818.00,1974.00,1593.00,1683.00,1875.00,2028.00,2061.00,2115.00,2139.00
FL064,1275.00,1275.00,1275.00,1275.00,1410.00,1494.00,1596.00,1719.00,1728.00,1569.00,1716.00,1731.00,1764.00,1800.00,1701.00,1725.00,1752.00,1485.00,1668.00,1734.00,1788.00,1809.00,1845.00,1863.00
FL065,1230.00,1230.00,1230.00,1230.00,1335.00,1401.00,1443.00,1494.00,1500.00,1440.00,1491.00,1503.00,1545.00,1695.00,1479.00,1497.00,1518.00,1398.00,1470.00,1506.00,1668.00,1761.00,1914.00,1935.00
FL066,1647.00,1647.00,1647.00,1647.00,1851.00,1968.00,2061.00,2229.00,2319.00,2037.00,2226.00,2331.00,2481.00,2487.00,2160.00,2301.00,2478.00,1959.00,2127.00,2364.00,2484.00,2490.00,2493.00,2511.00
FL067,1773.00,1773.00,1773.00,1773.00,2007.00,2142.00,2247.00,2391.00,2427.00,2217.00,2388.00,2430.00,2517.00,2595.00,2355.00,2418.00,2496.00,2130.00,2322.00,2448.00,2577.00,2625.00,2703.00,2739.00
FL068,1332.00,1332.00,1332.00,1332.00,1479.00,1566.00,1641.00,1731.00,1737.00,1626.00,1728.00,1740.00,1749.00,1776.00,1722.00,1734.00,1746.00,1560.00,1698.00,1743.00,1764.00,1785.00,1821.00,1839.00
FL069,2364.00,2364.00,2364.00,2364.00,2673.00,2850.00,2973.00,3201.00,3342.00,2934.00,3198.00,3357.00,3609.00,3750.00,3105.00,3312.00,3573.00,2835.00,3063.00,3405.00,3726.00,3897.00,3954.00,4017.00
FL070,1230.00,1230.00,1230.00,1230.00,1392.00,1491.00,1599.00,1734.00,1746.00,1569.00,1731.00,1749.00,1794.00,1860.00,1713.00,1743.00,1779.00,1479.00,1677.00,1755.00,1845.00,1881.00,1947.00,1968.00
FL423,1737.00,1737.00,1737.00,1737.00,1740.00,1767.00,1950.00,2148.00,2154.00,1884.00,2145.00,2157.00,2166.00,2172.00,2136.00,2151.00,2163.00,1746.00,2073.00,2160.00,2169.00,2175.00,2184.00,2208.00
FL424,1449.00,1449.00,1449.00,1449.00,1560.00,1635.00,1758.00,1902.00,1908.00,1719.00,1899.00,1911.00,1935.00,1977.00,1884.00,1905.00,1926.00,1623.00,1842.00,1914.00,1965.00,1986.00,2025.00,2046.00
GA071,1587.00,1587.00,1587.00,1587.00,1845.00,1983.00,2025.00,2109.00,2166.00,2022.00,2106.00,2175.00,2277.00,2283.00,2058.00,2154.00,2274.00,1980.00,2049.00,2196.00,2280.00,2286.00,2289.00,2304.00
GA072,834.00,834.00,834.00,834.00,993.00,1089.00,1119.00,1143.00,1191.00,1116.00,1140.00,1194.00,1233.00,1371.00,1134.00,1146.00,1230.00,1086.00,1128.00,1197.00,1368.00,1551.00,1563.00,1572.00
GA073,1155.00,1155.00,1155.00,1155.00,1317.00,1410.00,1455.00,1536.00,1575.00,1452.00,1533.00,1581.00,1659.00,1668.00,1494.00,1566.00,1656.00,1407.00,1482.00,1599.00,1662.00,1671.00,1674.00,1677.00
GA074,1224.00,1224.00,1224.00,1224.00,1299.00,1353.00,1443.00,1560.00,1569.00,1422.00,1557.00,1572.00,1608.00,1632.00,1539.00,1566.00,1602.00,1347.00,1509.00,1578.00,1623.00,1647.00,1659.00,1674.00
GA075,1068.00,1068.00,1068.00,1068.00,1173.00,1236.00,1305.00,1413.00,1443.00,1293.00,1410.00,1449.00,1512.00,1521.00,1377.00,1437.00,1509.00,1230.00,1356.00,1464.00,1515.00,1524.00,1527.00,1530.00
GA076,1089.00,1089.00,1089.00,1089.00,1203.00,1272.00,1338.00,1419.00,1425.00,1329.00,1416.00,1428.00,1437.00,1509.00,1410.00,1422.00,1434.00,1266.00,1389.00,1431.00,1491.00,1650.00,1662.00,1671.00
GA077,1308.00,1308.00,1308.00,1308.00,1431.00,1509.00,1617.00,1755.00,1770.00,1587.00,1752.00,1773.00,1821.00,1866.00,1731.00,1764.00,1809.00,1500.00,1695.00,1782.00,1854.00,1878.00,1923.00,1944.00
GA079,1335.00,1335.00,1335.00,1335.00,1482.00,1569.00,1617.00,1716.00,1773.00,1614.00,1713.00,1779.00,1887.00,1917.00,1665.00,1758.00,1878.00,1566.00,1653.00,1803.00,1905.00,1923.00,1953.00,1974.00
GA080,1194.00,1194.00,1194.00,1194.00,1317.00,1395.00,1491.00,1611.00,1617.00,1467.00,1608.00,1620.00,1656.00,1725.00,1593.00,1614.00,1638.00,1386.00,1560.00,1623.00,1707.00,1746.00,1815.00,1833.00
GA081,996.00,996.00,996.00,996.00,1080.00,1134.00,1158.00,1179.00,1194.00,1155.00,1176.00,1197.00,1257.00,1335.00,1164.00,1191.00,1236.00,1131.00,1161.00,1206.00,1317.00,1434.00,1443.00,1455.00
HI407,1899.00,1899.00,1899.00,1899.00,2130.00,2592.00,2661.00,2964.00,3150.00,2607.00,2961.00,3168.00,3477.00,3567.00,2838.00,3108.00,3453.00,2226.00,2736.00,3231.00,3549.00,3603.00,3696.00,3753.00
HI408,2004.00,2004.00,2004.00,2004.00,2220.00,2412.00,2682.00,2991.00,3015.00,2574.00,2988.00,3021.00,3117.00,3300.00,2961.00,3012.00,3072.00,2376.00,2865.00,3033.00,3270.00,3381.00,3567.00,3621.00
HI409,1437.00,1437.00,1437.00,1437.00,1677.00,1842.00,1914.00,2031.00,2076.00,1902.00,2028.00,2082.00,2169.00,2181.00,1989.00,2067.00,2163.00,1836.00,1968.00,2103.00,2172.00,2184.00,2187.00,2208.00
HI414,1881.00,1881.00,1881.00,1881.00,2055.00,2178.00,2439.00,2778.00,2820.00,2322.00,2775.00,2826.00,2904.00,2910.00,2739.00,2811.00,2901.00,2112.00,2637.00,2844.00,2907.00,2913.00,2916.00,2943.00
IA082,969.00,969.00,969.00,969.00,1074.00,1266.00,1308.00,1461.00,1542.00,1278.00,1458.00,1551.00,1698.00,1755.00,1398.00,1524.00,1683.00,1137.00,1356.00,1581.00,1740.00,1773.00,1830.00,1848.00
