Pay Grade,Years of Experience,Monthly Pay
O-1,0,3477.3
O-1,1,3477.3
O-1,2,3619.5
O-1,3,4375.5
O-1,4,4375.5
O-1,5,4375.5
O-1,6,4375.5
O-1,7,4375.5
O-1,8,4375.5
O-1,9,4375.5
O-1,10,4375.5
O-1,11,4375.5
O-1,12,4375.5
O-1,13,4375.5
O-1,14,4375.5
O-1,15,4375.5
O-1,16,4375.5
O-1,17,4375.5
O-1,18,4375.5
O-1,19,4375.5
O-1,20,4375.5
O-1,21,4375.5
O-1,22,4375.5
O-1,23,4375.5
O-1,24,4375.5
O-1,25,4375.5
O-1,26,4375.5
O-1,27,4375.5
O-1,28,4375.5
O-1,29,4375.5
O-1,30,4375.5
O-1,31,4375.5
O-1,32,4375.5
O-1,33,4375.5
O-1,34,4375.5
O-1,35,4375.5
O-1,36,4375.5
O-1,37,4375.5
O-1,38,4375.5
O-1,39,4375.5
O-1,40,4375.5
O-2,1,4006.5
O-2,2,4562.7
O-2,3,5255.1
O-2,4,5432.7
O-2,5,5432.7
O-2,6,5544.3
O-2,7,5544.3
O-2,8,5544.3
O-2,9,5544.3
O-2,10,5544.3
O-2,11,5544.3
O-2,12,5544.3
O-2,13,5544.3
O-2,14,5544.3
O-2,15,5544.3
O-2,16,5544.3
O-2,17,5544.3
O-2,18,5544.3
O-2,19,5544.3
O-2,20,5544.3
O-2,21,5544.3
O-2,22,5544.3
O-2,23,5544.3
O-2,24,5544.3
O-2,25,5544.3
O-2,26,5544.3
O-2,27,5544.3
O-2,28,5544.3
O-2,29,5544.3
O-2,30,5544.3
O-2,31,5544.3
O-2,32,5544.3
O-2,33,5544.3
O-2,34,5544.3
O-2,35,5544.3
O-2,36,5544.3
O-2,37,5544.3
O-2,38,5544.3
O-2,39,5544.3
O-2,40,5544.3
O-3,1,4636.5
O-3,2,5256
O-3,3,5672.4
O-3,4,6185.4
O-3,5,6185.4
O-3,6,6482.1
O-3,7,6482.1
O-3,8,6807.3
O-3,9,6807.3
O-3,10,7017.3
O-3,11,7017.3
O-3,12,7362.9
O-3,13,7362.9
O-3,14,7543.5
O-3,15,7543.5
O-3,16,7543.5
O-3,17,7543.5
O-3,18,7543.5
O-3,19,7543.5
O-3,20,7543.5
O-3,21,7543.5
O-3,22,7543.5
O-3,23,7543.5
O-3,24,7543.5
O-3,25,7543.5
O-3,26,7543.5
O-3,27,7543.5
O-3,28,7543.5
O-3,29,7543.5
O-3,30,7543.5
O-3,31,7543.5
O-3,32,7543.5
O-3,33,7543.5
O-3,34,7543.5
O-3,35,7543.5
O-3,36,7543.5
O-3,37,7543.5
O-3,38,7543.5
O-3,39,7543.5
O-3,40,7543.5
O-4,1,5273.7
O-4,2,6104.4
O-4,3,6512.4
O-4,4,6602.7
O-4,5,6602.7
O-4,6,6980.7
O-4,7,6980.7
O-4,8,7386.3
O-4,9,7386.3
O-4,10,7891.8
O-4,11,7891.8
O-4,12,8284.5
O-4,13,8284.5
O-4,14,8557.5
O-4,15,8557.5
O-4,16,8714.7
O-4,17,8714.7
O-4,18,8805.3
O-4,19,8805.3
O-4,20,8805.3
O-4,21,8805.3
O-4,22,8805.3
O-4,23,8805.3
O-4,24,8805.3
O-4,25,8805.3
O-4,26,8805.3
O-4,27,8805.3
O-4,28,8805.3
O-4,29,8805.3
O-4,30,8805.3
O-4,31,8805.3
O-4,32,8805.3
O-4,33,8805.3
O-4,34,8805.3
O-4,35,8805.3
O-4,36,8805.3
O-4,37,8805.3
O-4,38,8805.3
O-4,39,8805.3
O-4,40,8805.3
O-5,1,6112.2
O-5,2,6885.3
O-5,3,7361.7
O-5,4,7451.4
O-5,5,7451.4
O-5,6,7749.3
O-5,7,7749.3
O-5,8,7926.9
O-5,9,7926.9
O-5,10,8318.1
O-5,11,8318.1
O-5,12,8605.8
O-5,13,8605.8
O-5,14,8976.9
O-5,15,8976.9
O-5,16,9543.9
O-5,17,9543.9
O-5,18,9813.9
O-5,19,9813.9
O-5,20,10080.9
O-5,21,10080.9
O-5,22,10384.2
O-5,23,10384.2
O-5,24,10384.2
O-5,25,10384.2
O-5,26,10384.2
O-5,27,10384.2
O-5,28,10384.2
O-5,29,10384.2
O-5,30,10384.2
O-5,31,10384.2
O-5,32,10384.2
O-5,33,10384.2
O-5,34,10384.2
O-5,35,10384.2
O-5,36,10384.2
O-5,37,10384.2
O-5,38,10384.2
O-5,39,10384.2
O-5,40,10384.2
O-6,1,7332
O-6,2,8054.7
O-6,3,8583.3
O-6,4,8583.3
O-6,5,8583.3
O-6,6,8616.3
O-6,7,8616.3
O-6,8,8985.3
O-6,9,8985.3
O-6,10,9034.5
O-6,11,9034.5
O-6,12,9034.5
O-6,13,9034.5
O-6,14,9547.8
O-6,15,9547.8
O-6,16,10455.3
O-6,17,10455.3
O-6,18,10988.1
O-6,19,10988.1
O-6,20,11520.6
O-6,21,11520.6
O-6,22,11823.6
O-6,23,11823.6
O-6,24,12130.8
O-6,25,12130.8
O-6,26,12725.4
O-6,27,12725.4
O-6,28,12725.4
O-6,29,12725.4
O-6,30,12979.5
O-6,31,12979.5
O-6,32,12979.5
O-6,33,12979.5
O-6,34,12979.5
O-6,35,12979.5
O-6,36,12979.5
O-6,37,12979.5
O-6,38,12979.5
O-6,39,12979.5
O-6,40,12979.5
O-7,1,9668.4
O-7,2,10117.5
O-7,3,10325.4
O-7,4,10490.7
O-7,5,10490.7
O-7,6,10789.8
O-7,7,10789.8
O-7,8,11085.3
O-7,9,11085.3
O-7,10,11427
O-7,11,11427
O-7,12,11767.5
O-7,13,11767.5
O-7,14,12109.5
O-7,15,12109.5
O-7,16,13183.2
O-7,17,13183.2
O-7,18,14089.8
O-7,19,14089.8
O-7,20,14089.8
O-7,21,14089.8
O-7,22,14089.8
O-7,23,14089.8
O-7,24,14089.8
O-7,25,14089.8
O-7,26,14162.1
O-7,27,14162.1
O-7,28,14162.1
O-7,29,14162.1
O-7,30,14445.6
O-7,31,14445.6
O-7,32,14445.6
O-7,33,14445.6
O-7,34,14445.6
O-7,35,14445.6
O-7,36,14445.6
O-7,37,14445.6
O-7,38,14445.6
O-7,39,14445.6
O-7,40,14445.6
O-8,1,11635.5
O-8,2,12017.1
O-8,3,12270
O-8,4,12340.5
O-8,5,12340.5
O-8,6,12656.1
O-8,7,12656.1
O-8,8,13183.2
O-8,9,13183.2
O-8,10,13306.2
O-8,11,13306.2
O-8,12,13806.6
O-8,13,13806.6
O-8,14,13950.9
O-8,15,13950.9
O-8,16,14382
O-8,17,14382
O-8,18,15006.3
O-8,19,15006.3
O-8,20,15581.4
O-8,21,15581.4
O-8,22,15965.7
O-8,23,15965.7
O-8,24,15965.7
O-8,25,15965.7
O-8,26,15965.7
O-8,27,15965.7
O-8,28,15965.7
O-8,29,15965.7
O-8,30,16365.6
O-8,31,16365.6
O-8,32,16365.6
O-8,33,16365.6
O-8,34,16774.2
O-8,35,16774.2
O-8,36,16774.2
O-8,37,16774.2
O-8,38,16774.2
O-8,39,16774.2
O-8,40,16774.2
O-9,20,16444.8
O-9,21,16444.8
O-9,22,16682.4
O-9,23,16682.4
O-9,24,16974.9
O-9,25,16974.9
O-9,26,16974.9
O-9,27,16974.9
O-9,28,16974.9
O-9,29,16974.9
O-9,30,16974.9
O-9,31,16974.9
O-9,32,16974.9
O-9,33,16974.9
O-9,34,16974.9
O-9,35,16974.9
O-9,36,16974.9
O-9,37,16974.9
O-9,38,16974.9
O-9,39,16974.9
O-9,40,16974.9
O-10,20,16974.9
O-10,21,16974.9
O-10,22,16974.9
O-10,23,16974.9
O-10,24,16974.9
O-10,25,16974.9
O-10,26,16974.9
O-10,27,16974.9
O-10,28,16974.9
O-10,29,16974.9
O-10,30,16974.9
O-10,31,16974.9
O-10,32,16974.9
O-10,33,16974.9
O-10,34,16974.9
O-10,35,16974.9
O-10,36,16974.9
O-10,37,16974.9
O-10,38,16974.9
O-10,39,16974.9
O-10,40,16974.9
