Pay Grade,Years of Experience,Monthly Pay
E-1,0,1833
E-1,1,1833
E-1,2,1833
E-1,3,1833
E-1,4,1833
E-1,5,1833
E-1,6,1833
E-1,7,1833
E-1,8,1833
E-1,9,1833
E-1,10,1833
E-1,11,1833
E-1,12,1833
E-1,13,1833
E-1,14,1833
E-1,15,1833
E-1,16,1833
E-1,17,1833
E-1,18,1833
E-1,19,1833
E-1,20,1833
E-1,21,1833
E-1,22,1833
E-1,23,1833
E-1,24,1833
E-1,25,1833
E-1,26,1833
E-1,27,1833
E-1,28,1833
E-1,29,1833
E-1,30,1833
E-1,31,1833
E-1,32,1833
E-1,33,1833
E-1,34,1833
E-1,35,1833
E-1,36,1833
E-1,37,1833
E-1,38,1833
E-1,39,1833
E-1,40,1833
E-2,1,2055
E-2,2,2055
E-2,3,2055
E-2,4,2055
E-2,5,2055
E-2,6,2055
E-2,7,2055
E-2,8,2055
E-2,9,2055
E-2,10,2055
E-2,11,2055
E-2,12,2055
E-2,13,2055
E-2,14,2055
E-2,15,2055
E-2,16,2055
E-2,17,2055
E-2,18,2055
E-2,19,2055
E-2,20,2055
E-2,21,2055
E-2,22,2055
E-2,23,2055
E-2,24,2055
E-2,25,2055
E-2,26,2055
E-2,27,2055
E-2,28,2055
E-2,29,2055
E-2,30,2055
E-2,31,2055
E-2,32,2055
E-2,33,2055
E-2,34,2055
E-2,35,2055
E-2,36,2055
E-2,37,2055
E-2,38,2055
E-2,39,2055
E-2,40,2055
E-3,1,2161
E-3,2,2297
E-3,3,2436
E-3,4,2436
E-3,5,2436
E-3,6,2436
E-3,7,2436
E-3,8,2436
E-3,9,2436
E-3,10,2436
E-3,11,2436
E-3,12,2436
E-3,13,2436
E-3,14,2436
E-3,15,2436
E-3,16,2436
E-3,17,2436
E-3,18,2436
E-3,19,2436
E-3,20,2436
E-3,21,2436
E-3,22,2436
E-3,23,2436
E-3,24,2436
E-3,25,2436
E-3,26,2436
E-3,27,2436
E-3,28,2436
E-3,29,2436
E-3,30,2436
E-3,31,2436
E-3,32,2436
E-3,33,2436
E-3,34,2436
E-3,35,2436
E-3,36,2436
E-3,37,2436
E-3,38,2436
E-3,39,2436
E-3,40,2436
E-4,1,2393
E-4,2,2516
E-4,3,2652
E-4,4,2787
E-4,5,2906
E-4,6,2906
E-4,7,2906
E-4,8,2906
E-4,9,2906
E-4,10,2906
E-4,11,2906
E-4,12,2906
E-4,13,2906
E-4,14,2906
E-4,15,2906
E-4,16,2906
E-4,17,2906
E-4,18,2906
E-4,19,2906
E-4,20,2906
E-4,21,2906
E-4,22,2906
E-4,23,2906
E-4,24,2906
E-4,25,2906
E-4,26,2906
E-4,27,2906
E-4,28,2906
E-4,29,2906
E-4,30,2906
E-4,31,2906
E-4,32,2906
E-4,33,2906
E-4,34,2906
E-4,35,2906
E-4,36,2906
E-4,37,2906
E-4,38,2906
E-4,39,2906
E-4,40,2906
E-5,1,2610
E-5,2,2786
E-5,3,2921
E-5,4,3059
E-5,5,3059
E-5,6,3273
E-5,7,3273
E-5,8,3498
E-5,9,3498
E-5,10,3682
E-5,11,3682
E-5,12,3704
E-5,13,3704
E-5,14,3704
E-5,15,3704
E-5,16,3704
E-5,17,3704
E-5,18,3704
E-5,19,3704
E-5,20,3704
E-5,21,3704
E-5,22,3704
E-5,23,3704
E-5,24,3704
E-5,25,3704
E-5,26,3704
E-5,27,3704
E-5,28,3704
E-5,29,3704
E-5,30,3704
E-5,31,3704
E-5,32,3704
E-5,33,3704
E-5,34,3704
E-5,35,3704
E-5,36,3704
E-5,37,3704
E-5,38,3704
E-5,39,3704
E-5,40,3704
E-6,1,2849
E-6,2,3136
E-6,3,3274
E-6,4,3409
E-6,5,3409
E-6,6,3549
E-6,7,3549
E-6,8,3864
E-6,9,3864
E-6,10,3988
E-6,11,3988
E-6,12,4226
E-6,13,4226
E-6,14,4298
E-6,15,4298
E-6,16,4351
E-6,17,4351
E-6,18,4413
E-6,19,4413
E-6,20,4413
E-6,21,4413
E-6,22,4413
E-6,23,4413
E-6,24,4413
E-6,25,4413
E-6,26,4413
E-6,27,4413
E-6,28,4413
E-6,29,4413
E-6,30,4413
E-6,31,4413
E-6,32,4413
E-6,33,4413
E-6,34,4413
E-6,35,4413
E-6,36,4413
E-6,37,4413
E-6,38,4413
E-6,39,4413
E-6,40,4413
E-7,1,3294
E-7,2,3596
E-7,3,3734
E-7,4,3915
E-7,5,3915
E-7,6,4058
E-7,7,4058
E-7,8,4303
E-7,9,4303
E-7,10,4441
E-7,11,4441
E-7,12,4685
E-7,13,4685
E-7,14,4889
E-7,15,4889
E-7,16,5027
E-7,17,5027
E-7,18,5175
E-7,19,5175
E-7,20,5233
E-7,21,5233
E-7,22,5425
E-7,23,5425
E-7,24,5528
E-7,25,5528
E-7,26,5921
E-7,27,5921
E-7,28,5921
E-7,29,5921
E-7,30,5921
E-7,31,5921
E-7,32,5921
E-7,33,5921
E-7,34,5921
E-7,35,5921
E-7,36,5921
E-7,37,5921
E-7,38,5921
E-7,39,5921
E-7,40,5921
E-8,8,4739
E-8,9,4739
E-8,10,4949
E-8,11,4949
